,num,name,sr,hr,lr,bic
54,54,635218_1368610_2017-07-20_1011_BGRN_Analytic_s0172,161736,164432,10367,165650
55,55,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0174,189160,191112,12057,193806
56,56,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0014,159388,159591,9996,159863
57,57,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0691,25696,25057,1502,23386
58,58,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0531,169339,171068,10792,173077
59,59,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0141,84405,84716,5283,84411
60,60,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0320,146700,147224,9222,147842
61,61,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0160,123949,123876,7724,123496
62,62,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0143,136246,138406,8793,141524
63,63,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0053,177898,178117,11151,178705
64,64,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0489,121521,122120,7649,122569
65,65,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0109,89271,88858,5583,89150
66,66,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0584,127055,126435,7903,126412
67,67,635218_1368610_2017-07-20_1011_BGRN_Analytic_s0124,172528,173326,10907,175196
68,68,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0581,157245,157187,9851,157635
69,69,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0001,0,0,0,0
70,70,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0010,81593,81571,5104,81542
71,71,521630_1166117_2017-05-28_1008_BGRN_Analytic_s0139,201818,201169,12604,201834
72,72,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0573,0,0,0,0
73,73,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0024,141309,141631,8918,142793
74,74,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0345,125808,128649,8138,130939
75,75,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0925,187011,188255,11848,190283
76,76,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0452,90132,91888,5741,92133
77,77,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0404,176846,176956,11117,178190
78,78,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0552,145359,145897,9210,147427
79,79,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0553,147984,148734,9329,150140
80,80,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0724,196337,197182,12378,198960
81,81,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0848,164197,164610,10476,168289
82,82,682467_1368610_2017-08-11_102d_BGRN_Analytic_s0013,0,0,0,0
83,83,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0084,195472,195295,12217,195385
84,84,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0166,141225,142495,8905,142942
85,85,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0080,0,0,0,0
86,86,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0281,180995,181020,11320,181195
87,87,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0116,0,0,0,0
88,88,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0793,0,0,0,0
89,89,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0429,114400,114692,7190,115262
90,90,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0860,182900,183642,11522,184945
91,91,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0220,192987,195193,12437,200131
92,92,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0343,90171,90731,5695,91108
93,93,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0172,59,54,3,15
94,94,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0270,123077,123513,7697,123818
95,95,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0009,187637,188669,11879,191055
96,96,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0418,147021,148479,9325,149345
97,97,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0460,103651,105170,6584,105513
98,98,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0626,40682,41185,2549,40371
99,99,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0078,117039,117069,7352,117795
100,100,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0084,100436,100665,6318,101187
101,101,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0094,0,0,0,0
102,102,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0636,174294,176644,11151,179381
103,103,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0205,331,296,10,143
104,104,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0472,122952,125952,7894,127229
105,105,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0641,154673,154272,9676,154978
106,106,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0481,76,73,4,66
107,107,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0882,201394,201707,12637,202173
108,108,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0135,197152,197382,12399,198727
109,109,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0328,134089,134513,8477,135893
110,110,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0639,2420,2440,101,1541
111,111,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0879,161192,162861,10315,165394
112,112,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0313,176642,177270,11110,178103
113,113,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0444,11649,11967,719,11405
114,114,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0134,203533,203365,12713,203483
115,115,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0232,174637,175349,11076,177856
116,116,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0567,151173,152767,9633,155089
117,117,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0138,97505,97827,6110,97898
118,118,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0303,196665,196528,12359,197911
119,119,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0593,134093,133996,8387,134068
120,120,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0437,160047,160138,10012,160432
121,121,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0904,0,0,0,0
122,122,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0319,69390,70383,4392,70299
123,123,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0246,98061,96244,6027,95641
124,124,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0352,167977,168078,10520,168502
125,125,488779_1166017_2017-05-02_102e_BGRN_Analytic_s0044,3647,3553,221,3342
126,126,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0562,54374,54453,3357,53410
127,127,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0319,194483,196684,12374,198946
128,128,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0153,110809,110839,6963,111500
129,129,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0267,112739,112770,7036,112741
130,130,715013_1166017_2017-08-27_1032_BGRN_Analytic_s0171,101658,102143,6429,103966
131,131,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0290,173299,173612,10890,174187
132,132,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0324,0,0,0,0
133,133,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0594,156893,158364,9992,160566
134,134,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0599,82456,82887,5177,83031
135,135,660535_1066622_2017-08-01_1041_BGRN_Analytic_s1001,165331,166374,10471,167942
136,136,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0434,92083,93309,5803,93079
137,137,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0413,64226,64162,4006,64146
138,138,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0559,79871,80475,5029,79429
139,139,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0150,163573,165904,10525,169856
140,140,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0621,194610,195262,12282,196948
141,141,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0373,0,0,0,0
142,142,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0062,0,0,0,0
143,143,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0808,136433,138253,8685,139094
144,144,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0334,0,0,0,0
145,145,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0348,76455,75828,4687,75063
146,146,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0765,2730,2594,141,2160
147,147,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0229,201390,201945,12633,202420
148,148,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0900,119302,119825,7544,121116
149,149,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0578,173544,173435,10876,174201
150,150,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0403,132120,134325,8467,135570
151,151,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0427,156421,157202,9863,157971
152,152,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0375,132878,135444,8492,135933
153,153,570602_1166117_2017-06-22_1013_BGRN_Analytic_s1004,103662,103791,6485,103848
154,154,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0334,0,0,0,0
155,155,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0750,0,0,0,0
156,156,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0284,0,0,0,0
157,157,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0131,136988,138476,8869,144003
158,158,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0181,222070,222777,13946,223479
159,159,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0012,70864,70707,4435,70905
160,160,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0122,147140,147024,9192,147117
161,161,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0033,105693,105593,6688,107102
162,162,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0005,132015,133285,8352,133949
163,163,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0315,139596,137337,8635,138059
164,164,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0139,32012,32093,2000,31925
165,165,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0624,24275,24322,1522,24410
166,166,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0072,0,0,0,0
167,167,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0608,160409,161373,10146,163281
168,168,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0984,0,0,0,0
169,169,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0510,95624,95958,6037,96775
170,170,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0596,92028,92358,5768,92296
171,171,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0714,2531,2309,108,1539
172,172,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0622,58847,58652,3663,58207
173,173,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0978,58560,58219,3638,57909
174,174,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0839,174820,177461,11289,181304
175,175,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0582,72500,72926,4456,70991
176,176,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0142,73091,72960,4538,71959
177,177,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0797,0,0,0,0
178,178,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0990,203399,204032,12779,204961
179,179,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0562,139071,140551,8954,143752
180,180,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0010,733,695,35,480
181,181,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0234,113713,114039,7122,113905
182,182,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0380,119581,119204,7475,119476
183,183,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0156,110658,111284,6956,111533
184,184,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0146,172465,172844,10813,172960
185,185,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0342,201767,202956,12732,204328
186,186,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0077,1196,1284,70,1125
187,187,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0517,127271,129860,8225,131999
188,188,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0397,39225,39423,2437,39207
189,189,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0523,24674,25003,1555,24493
190,190,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0148,12002,12476,730,11308
191,191,715013_1166017_2017-08-27_1032_BGRN_Analytic_s0049,217855,218109,13710,219697
192,192,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0967,141955,141916,9061,145390
193,193,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0311,159031,162449,10389,167424
194,194,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0403,124965,125399,7832,125326
195,195,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0775,23704,23921,1408,22082
196,196,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0004,102892,102993,6450,103081
197,197,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0133,222727,223157,13991,224182
198,198,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0450,117261,118784,7451,119570
199,199,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0003,98956,94051,5850,93896
200,200,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0282,0,0,0,0
201,201,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0272,0,0,0,0
202,202,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0033,124942,125409,7897,126649
203,203,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0131,63022,55257,3442,54695
204,204,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0018,8752,8268,462,7149
205,205,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0717,210134,210103,13233,212294
206,206,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0564,12935,12777,733,11246
207,207,521630_1166117_2017-05-28_1008_BGRN_Analytic_s0060,189046,188114,11736,187787
208,208,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0327,65757,64851,4024,64335
209,209,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0702,111355,112751,7148,115296
210,210,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0627,82439,82770,5137,82099
211,211,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0022,7299,7123,392,5925
212,212,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0631,126748,126683,7953,127117
213,213,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0921,0,0,0,0
214,214,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0254,152374,153378,9679,155788
215,215,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0831,48606,48353,2963,47429
216,216,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0171,80028,80839,4986,79473
217,217,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0243,206409,206340,12904,206548
218,218,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0595,43356,43713,2700,43114
219,219,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0393,229806,229842,14365,229895
220,220,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0494,14981,18230,854,12748
221,221,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0261,167156,168319,10568,169458
222,222,676207_1269313_2017-08-08_0f15_BGRN_Analytic_s0013,133134,133449,8347,133412
223,223,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0501,152789,155038,9762,156392
224,224,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0203,42918,44002,2733,43386
225,225,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0423,111088,111094,6955,111682
226,226,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0782,5872,5908,341,5236
227,227,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0132,0,0,0,0
228,228,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0771,0,0,0,0
229,229,585620_1166117_2017-06-28_0f22_BGRN_Analytic_s0085,0,0,0,0
230,230,488779_1166017_2017-05-02_102e_BGRN_Analytic_s0019,0,4,0,0
231,231,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0703,175921,176390,11037,176589
232,232,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0098,169167,170187,10644,170472
233,233,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0552,22471,21398,1206,18597
234,234,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0088,75361,75145,4684,75043
235,235,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0425,1256,1095,57,840
236,236,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0126,76128,76807,4787,76397
237,237,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0841,96093,96242,6021,96508
238,238,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0111,0,0,0,0
239,239,635218_1368610_2017-07-20_1011_BGRN_Analytic_s0106,155006,156718,9840,157856
240,240,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0231,180421,181153,11338,181583
241,241,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0299,195418,195872,12268,196342
242,242,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0159,43230,43217,2696,43055
243,243,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0432,200189,200910,12595,201943
244,244,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0635,0,0,0,0
245,245,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0024,195115,196797,12406,199094
246,246,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0642,118901,120149,7569,121344
247,247,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0400,0,0,0,0
248,248,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0288,127360,128099,8029,128303
249,249,676207_1269313_2017-08-08_0f15_BGRN_Analytic_s0205,187828,188377,11840,189754
250,250,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0452,0,0,0,0
251,251,715013_1166017_2017-08-27_1032_BGRN_Analytic_s0081,157901,158239,9936,159819
252,252,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0031,220056,220936,13869,222444
253,253,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0242,0,0,0,0
254,254,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0641,0,0,0,0
255,255,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0433,5776,5707,322,5035
256,256,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0464,116441,117439,7403,118568
257,257,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0104,58271,59134,3697,59169
258,258,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0263,75946,75877,4741,75981
259,259,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0278,33715,33972,2093,33440
260,260,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0502,133237,134795,8532,137104
261,261,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0007,176025,178313,11238,181142
262,262,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0035,0,0,0,0
263,263,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0104,157667,157524,9862,157691
264,264,585620_1166117_2017-06-28_0f22_BGRN_Analytic_s0167,69807,71233,4458,71446
265,265,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0009,24972,25008,1509,23429
266,266,521630_1166117_2017-05-28_1008_BGRN_Analytic_s0016,178610,178828,11256,180493
267,267,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0316,190564,190942,11967,191323
268,268,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0963,204492,204946,12836,205825
269,269,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0612,111599,111236,6956,111265
270,270,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0035,159201,160406,10067,161141
271,271,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0661,0,0,0,0
272,272,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0072,0,0,0,0
273,273,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0198,159813,159932,10095,161706
274,274,676207_1269313_2017-08-08_0f15_BGRN_Analytic_s0136,157665,158157,9896,158265
275,275,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0140,0,0,0,0
276,276,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0348,115835,115632,7222,116016
277,277,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0206,170303,171483,10756,172131
278,278,693353_1066622_2017-08-17_1032_BGRN_Analytic_s0305,94517,95698,5993,96503
279,279,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0406,0,0,0,0
280,280,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0648,0,0,0,0
281,281,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0783,157634,157652,9843,157367
282,282,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0111,0,0,0,0
283,283,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0715,45790,45916,2871,46066
284,284,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0208,136697,132278,8495,136913
285,285,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0229,97512,98277,6188,99118
286,286,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0454,100147,101222,6357,101561
287,287,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0118,16497,15934,980,15326
288,288,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0326,4472,4751,255,3997
289,289,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0244,0,0,0,0
290,290,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0115,5452,5253,273,4098
291,291,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0292,186667,187688,11764,188470
292,292,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0311,99423,100243,6244,99475
293,293,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0364,187716,187814,11772,188335
294,294,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0064,0,0,0,0
295,295,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0033,46609,45724,2747,43523
296,296,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0089,4758,4319,175,2480
297,297,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0586,189165,189546,11885,190251
298,298,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0201,2929,3030,167,2457
299,299,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0773,149739,150096,9388,150418
300,300,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0294,18430,18807,1116,17878
301,301,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0040,172603,174497,11077,178329
302,302,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0637,163036,164822,10404,166962
303,303,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0375,91988,92058,5772,92936
304,304,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0082,206729,206982,12963,207519
305,305,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0396,43027,42994,2696,43101
306,306,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0278,106888,108160,6783,108433
307,307,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0098,48444,48072,2909,46247
308,308,676207_1269313_2017-08-08_0f15_BGRN_Analytic_s0053,174275,174503,10913,174617
309,309,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0410,5873,5494,305,4364
310,310,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0823,152349,152327,9543,152841
311,311,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0099,64495,64967,4080,65255
312,312,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0470,207259,207504,12992,208249
313,313,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0507,49095,49459,3077,49312
314,314,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0355,70586,70516,4442,70655
315,315,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0185,0,0,0,0
316,316,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0231,145009,145600,9146,146477
317,317,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0785,108922,111083,6934,111187
318,318,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0374,3749,3719,177,2572
319,319,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0311,172818,172932,10835,173429
320,320,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0019,180785,173932,11288,182780
321,321,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0159,100679,100975,6347,101680
322,322,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0064,0,0,0,0
323,323,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0805,166240,168591,10688,171349
324,324,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0612,21277,23206,1264,19366
325,325,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0950,204835,205144,12832,205595
326,326,682467_1368610_2017-08-11_102d_BGRN_Analytic_s0196,0,0,0,0
327,327,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0025,0,0,0,0
328,328,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0014,0,0,0,0
329,329,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0046,138317,140444,8946,144153
330,330,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0456,106597,108126,6805,108572
331,331,503058_1168617_2017-05-14_0e0f_BGRN_Analytic_s0105,0,0,0,0
332,332,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0031,203623,203448,12731,203687
333,333,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0013,896,933,58,899
334,334,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0789,99447,99559,6238,99942
335,335,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0168,139689,140645,8849,142064
336,336,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0699,185034,185185,11651,186707
337,337,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0044,7827,7506,418,6358
338,338,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0305,31428,30564,1806,28048
339,339,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0821,55186,54950,3427,54914
340,340,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0835,81476,82354,5192,83362
341,341,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0377,208012,209939,13228,211981
342,342,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0375,111891,112245,6992,112062
343,343,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0381,36430,36765,2259,36316
344,344,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0011,223570,223531,13975,223677
345,345,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0747,134336,134989,8483,135937
346,346,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0778,105404,102893,6366,101769
347,347,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0589,123648,124350,7797,125030
348,348,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0371,126399,128438,8097,129812
349,349,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0167,0,0,0,0
350,350,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0227,0,0,0,0
351,351,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0252,38252,38394,2377,38125
352,352,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0805,168053,169597,10776,173385
353,353,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0713,124406,125195,7871,126171
