,num,name,sr,hr,lr,bic
827,827,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0653,48370,48253,2994,47721
828,828,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0519,107555,107538,6742,107617
829,829,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0659,183024,185564,11748,188997
830,830,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0311,18155,17625,1055,16702
831,831,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0128,191385,191432,11972,191430
832,832,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0775,164102,164327,10330,165958
833,833,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0056,62135,62795,3919,62907
834,834,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0181,125404,126590,7908,126404
835,835,521630_1166117_2017-05-28_1008_BGRN_Analytic_s0024,187670,188261,11766,188282
836,836,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0185,102701,103499,6443,102321
837,837,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0275,175681,176454,11065,177403
838,838,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0788,139587,141491,8884,141850
839,839,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0176,155059,155837,9824,157419
840,840,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0345,182485,186572,11848,191024
841,841,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0513,0,0,0,0
842,842,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0743,200746,201635,12697,203958
843,843,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0264,190211,190229,11906,190602
844,844,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0859,149534,150831,9528,153543
845,845,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0719,44991,45073,2824,45031
846,846,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0428,0,0,0,0
847,847,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0791,14124,14080,881,14161
848,848,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0162,146051,146611,9192,146931
849,849,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0553,0,0,0,0
850,850,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0243,207643,207942,13032,208716
851,851,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0094,98799,98709,6155,98525
852,852,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0622,14020,13617,784,12299
853,853,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0063,44929,44949,2814,45036
854,854,590376_1066622_2017-06-30_101a_BGRN_Analytic_s0535,151110,151800,9595,154251
855,855,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0603,201139,202071,12729,204086
856,856,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0487,0,0,0,0
857,857,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0992,153262,153885,9722,155910
858,858,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0078,166322,166625,10457,167218
859,859,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0554,161651,161664,10130,162180
860,860,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0262,35171,35016,2103,32894
861,861,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0673,163623,164106,10288,164749
862,862,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0010,13018,13170,779,12241
863,863,660535_1066622_2017-08-01_1041_BGRN_Analytic_s1002,161398,162485,10223,164328
864,864,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0377,155948,156931,9822,157394
865,865,656866_1269014_2017-07-30_1033_BGRN_Analytic_s0303,83842,83880,5250,84142
866,866,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0026,2529,2483,152,2457
867,867,585620_1166117_2017-06-28_0f22_BGRN_Analytic_s0361,74746,75105,4718,75483
868,868,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0314,37430,36524,2234,35188
869,869,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0223,157128,157555,9884,158339
870,870,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0330,4,2,0,0
871,871,682467_1368610_2017-08-11_102d_BGRN_Analytic_s0419,0,0,0,0
872,872,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0331,116324,116256,7252,116216
873,873,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0065,3966,3927,243,3925
874,874,640681_1269014_2017-07-23_1030_BGRN_Analytic_s0233,182801,183101,11455,183618
875,875,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0813,92199,92901,5871,94045
876,876,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0098,159387,159641,10008,160076
877,877,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0473,16844,17104,1008,15703
878,878,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0726,0,0,0,0
879,879,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0314,32753,33087,2042,32819
880,880,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0583,12363,12226,727,11325
881,881,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0863,90983,91405,5737,92152
882,882,631880_1066622_2017-07-18_101e_BGRN_Analytic_s0805,148981,149828,9397,150802
883,883,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0422,118096,117874,7401,118885
884,884,603777_1368808_2017-07-06_1041_BGRN_Analytic_s0526,209085,209334,13157,210742
885,885,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0670,206600,207040,13000,208425
886,886,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0666,169402,171832,10853,174412
887,887,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0390,155324,156231,9840,158104
888,888,492899_1166117_2017-05-06_1041_BGRN_Analytic_s0876,0,0,0,0
889,889,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0292,182736,183875,11571,185240
890,890,667525_1269014_2017-08-04_1022_BGRN_Analytic_s0291,171908,173188,10846,174054
891,891,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0571,145528,145719,9121,146081
892,892,580411_1368808_2017-06-26_1007_BGRN_Analytic_s0158,40230,39512,2404,38236
893,893,637302_1368610_2017-07-21_0f34_BGRN_Analytic_s0468,113773,113837,7147,114612
